"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960883930724475101","Thu Aug 28 01:55:35 +0000 2025","0","mumpung masih ada kesempatan yuk rawat keindonesiaan kita dengan dialog kritik sehat dan literasi bareng demi masa depan digital yang inklusif https://t.co/0Pn4IcdlT4","1960883930724475101","","","in","","0","0","0","https://x.com/undefined/status/1960883930724475101","1908660168579002368",
"1960883902954004532","Thu Aug 28 01:55:28 +0000 2025","0","internet boleh cepat tapi kalau tanpa literasi digital kita gampang percaya palsu dan malah bantu nyebarin radikalisme https://t.co/mQY5P9xCht","1960883902954004532","","","in","","0","0","0","https://x.com/undefined/status/1960883902954004532","1908562908109234176",
"1960883677375946912","Thu Aug 28 01:54:34 +0000 2025","0","literasi kritis dan melek media itu senjata keren buat lawan hoaks dan ide cengeng digital https://t.co/e7xaGGzTPt","1960883677375946912","","","in","","0","0","0","https://x.com/undefined/status/1960883677375946912","1908600791209738241",
"1960870336876175717","Thu Aug 28 01:01:34 +0000 2025","1","Kepolisian Resor Kepulauan Tanimbar Bhabinkamtibmas Desa Ilngei barat sambangi warga binaan serta sosialisasikan Literasi Digital. #kapolreskepulauantanimbar #divisihumaspolri #polriuntukmasyarakat #poldamaluku https://t.co/HE8OduSjgY","1960870336876175717","https://pbs.twimg.com/media/GzZpLbaa4AQydo7.jpg","","in","","0","0","0","https://x.com/undefined/status/1960870336876175717","1461254089",
"1959950581730001256","Wed Aug 27 14:50:34 +0000 2025","0","@theunjae @unesa_fess aku ada literasi digital bisa dm ya","1960716573741576568","","theunjae","in","","0","0","0","https://x.com/undefined/status/1960716573741576568","1803081591738220544",
"1960704763181367448","Wed Aug 27 14:03:38 +0000 2025","0","Fenomena @Salsaer dari Denmark membuktikan bahwa provokasi digital lintas negara bisa memicu eskalasi sosial. Inilah urgensi literasi digital di Indonesia. https://t.co/Qf2cwRU3aZ","1960704763181367448","https://pbs.twimg.com/media/GzXSlQHa4AUhq6L.jpg","","in","","0","0","0","https://x.com/undefined/status/1960704763181367448","1917942645969829889",
"1960702861605789861","Wed Aug 27 13:56:08 +0000 2025","0","Pemerintah dan sekolah perlu mengembangkan dialog terbuka forum aspirasi serta edukasi literasi digital kritis. Ini penting agar pelajar dapat menyalurkan pandangan dan membedakan informasi alih-alih hanya dilarang.","1960702877770330347","","txtdarillm","in","","0","0","0","https://x.com/undefined/status/1960702877770330347","1795100176639815680",
"1960662557716570382","Wed Aug 27 11:15:57 +0000 2025","0","Upaya ini sebagai langkah pre-emptive &amp; preventive. Bareskrim juga rilis iklan layanan masyarakat dan literasi digital pencegahan.","1960662566625272140","","txtdarillm","in","","0","1","0","https://x.com/undefined/status/1960662566625272140","1795100176639815680",
"1960644493981503561","Wed Aug 27 10:04:09 +0000 2025","0","Ekosistem digital BRI dorong literasi &amp; akses keuangan. #KinerjaBRI #KonsistensiBRI #qrisbri https://t.co/ktHXx9Pq2l","1960644493981503561","https://pbs.twimg.com/media/GzWbxuwa4AAJYBt.jpg","","in","","0","0","0","https://x.com/undefined/status/1960644493981503561","1816376971670216705",
"1960644472548540794","Wed Aug 27 10:04:03 +0000 2025","0","Buku2 di SIBI trutama buku bacaannya ini cocok bgt dikenalin ke anak. selain ngenalin literasi pesan dr ceritanya slalu mantap. Bs bntu ngebentuk karaktek anak. Yok para ortu arahin anak gunain device positif contohnya bca buku digital ini. Cek SIBI dia ada dibagian nonteks ya","1960644472548540794","","","in","","0","0","0","https://x.com/undefined/status/1960644472548540794","3560273479",
